date,route,city,price,prev_price,delta,delta_pct,window_n,low,high,pct_rank,flag
2026-06-24,BKK-CAN,Guangzhou,6354,6354,0,0.0,12,6354,7060,0.0,low in 12
2026-06-24,BKK-CEI,Chiang Rai,2390,2672,-282,-10.6,12,2356,2672,18.2,
2026-06-24,BKK-CNX,Chiang Mai,2637,2638,-1,-0.0,12,2152,2638,90.9,
2026-06-24,BKK-DAD,Da Nang,4530,4437,93,2.1,12,4074,4530,100.0,high in 12
2026-06-24,BKK-HAN,Hanoi,4910,4911,-1,-0.0,12,4691,4911,90.9,
2026-06-24,BKK-HKT,Phuket,1545,1479,66,4.5,12,906,1545,100.0,high in 12
2026-06-24,BKK-HND,Tokyo (Haneda),11253,11253,0,0.0,12,11253,12922,0.0,low in 12
2026-06-24,BKK-KBV,Krabi,1739,1428,311,21.8,12,970,1819,72.7,
2026-06-24,BKK-KIX,Osaka,10882,10882,0,0.0,12,10742,11022,54.5,
2026-06-24,BKK-NRT,Tokyo (Narita),11137,11140,-3,-0.0,12,8767,11254,54.5,
2026-06-24,BKK-PEK,Beijing,8810,8810,0,0.0,12,8761,9670,45.5,
2026-06-24,BKK-PVG,Shanghai,7192,7192,0,0.0,12,6788,7669,45.5,
2026-06-24,BKK-SGN,Ho Chi Minh City,5017,5017,0,0.0,12,5015,5363,9.1,
2026-06-25,BKK-CAN,Guangzhou,6615,6354,261,4.1,13,6354,7060,91.7,
2026-06-25,BKK-CEI,Chiang Rai,2389,2390,-1,-0.0,13,2356,2672,16.7,
2026-06-25,BKK-CNX,Chiang Mai,2637,2637,0,0.0,13,2152,2638,83.3,
2026-06-25,BKK-DAD,Da Nang,4530,4530,0,0.0,13,4074,4530,91.7,high in 13
2026-06-25,BKK-HAN,Hanoi,4910,4910,0,0.0,13,4691,4911,83.3,
2026-06-25,BKK-HKT,Phuket,1545,1545,0,0.0,13,906,1545,91.7,high in 13
2026-06-25,BKK-HND,Tokyo (Haneda),11823,11253,570,5.1,13,11253,12922,33.3,
2026-06-25,BKK-KBV,Krabi,1739,1739,0,0.0,13,970,1819,66.7,
2026-06-25,BKK-KIX,Osaka,10882,10882,0,0.0,13,10742,11022,50.0,
2026-06-25,BKK-NRT,Tokyo (Narita),11137,11137,0,0.0,13,8767,11254,50.0,
2026-06-25,BKK-PEK,Beijing,9507,8810,697,7.9,13,8761,9670,91.7,
2026-06-25,BKK-PVG,Shanghai,7192,7192,0,0.0,13,6788,7669,41.7,
2026-06-25,BKK-SGN,Ho Chi Minh City,5017,5017,0,0.0,13,5015,5363,8.3,
2026-06-26,BKK-CAN,Guangzhou,6410,6615,-205,-3.1,14,6354,7060,46.2,
2026-06-26,BKK-CEI,Chiang Rai,2389,2389,0,0.0,14,2356,2672,15.4,
2026-06-26,BKK-CNX,Chiang Mai,2478,2637,-159,-6.0,14,2152,2638,69.2,
2026-06-26,BKK-DAD,Da Nang,4462,4530,-68,-1.5,14,4074,4530,84.6,
2026-06-26,BKK-HAN,Hanoi,4944,4910,34,0.7,14,4691,4944,100.0,high in 14
2026-06-26,BKK-HKT,Phuket,1545,1545,0,0.0,14,906,1545,84.6,high in 14
2026-06-26,BKK-HND,Tokyo (Haneda),11810,11823,-13,-0.1,14,11253,12922,30.8,
2026-06-26,BKK-KBV,Krabi,2149,1739,410,23.6,14,970,2149,100.0,high in 14
2026-06-26,BKK-KIX,Osaka,10957,10882,75,0.7,14,10742,11022,84.6,
2026-06-26,BKK-NRT,Tokyo (Narita),10904,11137,-233,-2.1,14,8767,11254,46.2,
2026-06-26,BKK-PEK,Beijing,9574,9507,67,0.7,14,8761,9670,92.3,
2026-06-26,BKK-PVG,Shanghai,7192,7192,0,0.0,14,6788,7669,38.5,
2026-06-26,BKK-SGN,Ho Chi Minh City,5146,5017,129,2.6,14,5015,5363,84.6,
2026-06-27,BKK-CAN,Guangzhou,6167,6410,-243,-3.8,15,6167,7060,0.0,low in 15
2026-06-27,BKK-CEI,Chiang Rai,2389,2389,0,0.0,15,2356,2672,14.3,
2026-06-27,BKK-CNX,Chiang Mai,2478,2478,0,0.0,15,2152,2638,64.3,
2026-06-27,BKK-DAD,Da Nang,4464,4462,2,0.0,15,4074,4530,85.7,
2026-06-27,BKK-HAN,Hanoi,4808,4944,-136,-2.8,15,4691,4944,35.7,
2026-06-27,BKK-HKT,Phuket,1390,1545,-155,-10.0,15,906,1545,71.4,
2026-06-27,BKK-HND,Tokyo (Haneda),11202,11810,-608,-5.1,15,11202,12922,0.0,low in 15
2026-06-27,BKK-KBV,Krabi,2150,2149,1,0.0,15,970,2150,100.0,high in 15
2026-06-27,BKK-KIX,Osaka,10962,10957,5,0.0,15,10742,11022,85.7,
2026-06-27,BKK-NRT,Tokyo (Narita),10904,10904,0,0.0,15,8767,11254,42.9,
2026-06-27,BKK-PEK,Beijing,9574,9574,0,0.0,15,8761,9670,85.7,
2026-06-27,BKK-PVG,Shanghai,7192,7192,0,0.0,15,6788,7669,35.7,
2026-06-27,BKK-SGN,Ho Chi Minh City,5118,5146,-28,-0.5,15,5015,5363,71.4,
2026-06-29,BKK-CAN,Guangzhou,6167,6167,0,0.0,16,6167,7060,0.0,low in 16
2026-06-29,BKK-CEI,Chiang Rai,2389,2389,0,0.0,16,2356,2672,13.3,
2026-06-29,BKK-CNX,Chiang Mai,2478,2478,0,0.0,16,2152,2638,60.0,
2026-06-29,BKK-DAD,Da Nang,4301,4464,-163,-3.7,16,4074,4530,26.7,
2026-06-29,BKK-HAN,Hanoi,4724,4808,-84,-1.7,16,4691,4944,6.7,
2026-06-29,BKK-HKT,Phuket,1390,1390,0,0.0,16,906,1545,66.7,
2026-06-29,BKK-HND,Tokyo (Haneda),11202,11202,0,0.0,16,11202,12922,0.0,low in 16
2026-06-29,BKK-KBV,Krabi,2150,2150,0,0.0,16,970,2150,93.3,high in 16
2026-06-29,BKK-KIX,Osaka,10962,10962,0,0.0,16,10742,11022,80.0,
2026-06-29,BKK-NRT,Tokyo (Narita),10904,10904,0,0.0,16,8767,11254,40.0,
2026-06-29,BKK-PEK,Beijing,9238,9574,-336,-3.5,16,8761,9670,73.3,
2026-06-29,BKK-PVG,Shanghai,7192,7192,0,0.0,16,6788,7669,33.3,
2026-06-29,BKK-SGN,Ho Chi Minh City,4598,5118,-520,-10.2,16,4598,5363,0.0,low in 16
2026-06-30,BKK-CAN,Guangzhou,6167,6167,0,0.0,17,6167,7060,0.0,low in 17
2026-06-30,BKK-CEI,Chiang Rai,2389,2389,0,0.0,17,2356,2672,12.5,
2026-06-30,BKK-CNX,Chiang Mai,2478,2478,0,0.0,17,2152,2638,56.2,
2026-06-30,BKK-DAD,Da Nang,4301,4301,0,0.0,17,4074,4530,25.0,
2026-06-30,BKK-HAN,Hanoi,4724,4724,0,0.0,17,4691,4944,6.2,
2026-06-30,BKK-HKT,Phuket,1405,1390,15,1.1,17,906,1545,75.0,
2026-06-30,BKK-HND,Tokyo (Haneda),11202,11202,0,0.0,17,11202,12922,0.0,low in 17
2026-06-30,BKK-KBV,Krabi,2150,2150,0,0.0,17,970,2150,87.5,high in 17
2026-06-30,BKK-KIX,Osaka,9636,10962,-1326,-12.1,17,9636,11022,0.0,low in 17
2026-06-30,BKK-NRT,Tokyo (Narita),9147,10904,-1757,-16.1,17,8767,11254,6.2,
2026-06-30,BKK-PEK,Beijing,9238,9238,0,0.0,17,8761,9670,68.8,
2026-06-30,BKK-PVG,Shanghai,7330,7192,138,1.9,17,6788,7669,75.0,
2026-06-30,BKK-SGN,Ho Chi Minh City,4598,4598,0,0.0,17,4598,5363,0.0,low in 17
2026-07-01,BKK-CAN,Guangzhou,6124,6167,-43,-0.7,18,6124,7060,0.0,low in 18
2026-07-01,BKK-CEI,Chiang Rai,2754,2389,365,15.3,18,2356,2754,100.0,high in 18
2026-07-01,BKK-CNX,Chiang Mai,2478,2478,0,0.0,18,2152,2638,52.9,
2026-07-01,BKK-DAD,Da Nang,4301,4301,0,0.0,18,4074,4530,23.5,
2026-07-01,BKK-HAN,Hanoi,4724,4724,0,0.0,18,4691,4944,5.9,
2026-07-01,BKK-HKT,Phuket,1550,1405,145,10.3,18,906,1550,100.0,high in 18
2026-07-01,BKK-HND,Tokyo (Haneda),11202,11202,0,0.0,18,11202,12922,0.0,low in 18
2026-07-01,BKK-KBV,Krabi,2150,2150,0,0.0,18,970,2150,82.4,high in 18
2026-07-01,BKK-KIX,Osaka,9623,9636,-13,-0.1,18,9623,11022,0.0,low in 18
2026-07-01,BKK-NRT,Tokyo (Narita),9136,9147,-11,-0.1,18,8767,11254,5.9,
2026-07-01,BKK-PEK,Beijing,8665,9238,-573,-6.2,18,8665,9670,0.0,low in 18
2026-07-01,BKK-PVG,Shanghai,7330,7330,0,0.0,18,6788,7669,70.6,
2026-07-01,BKK-SGN,Ho Chi Minh City,4598,4598,0,0.0,18,4598,5363,0.0,low in 18
2026-07-02,BKK-CAN,Guangzhou,5970,6124,-154,-2.5,19,5970,7060,0.0,low in 19
2026-07-02,BKK-CEI,Chiang Rai,2754,2754,0,0.0,19,2356,2754,94.4,high in 19
2026-07-02,BKK-CNX,Chiang Mai,2478,2478,0,0.0,19,2152,2638,50.0,
2026-07-02,BKK-DAD,Da Nang,4428,4301,127,3.0,19,4074,4530,55.6,
2026-07-02,BKK-HAN,Hanoi,4724,4724,0,0.0,19,4691,4944,5.6,
2026-07-02,BKK-HKT,Phuket,1552,1550,2,0.1,19,906,1552,100.0,high in 19
2026-07-02,BKK-HND,Tokyo (Haneda),11202,11202,0,0.0,19,11202,12922,0.0,low in 19
2026-07-02,BKK-KBV,Krabi,2150,2150,0,0.0,19,970,2150,77.8,high in 19
2026-07-02,BKK-KIX,Osaka,9623,9623,0,0.0,19,9623,11022,0.0,low in 19
2026-07-02,BKK-NRT,Tokyo (Narita),9136,9136,0,0.0,19,8767,11254,5.6,
2026-07-02,BKK-PEK,Beijing,8665,8665,0,0.0,19,8665,9670,0.0,low in 19
2026-07-02,BKK-PVG,Shanghai,7330,7330,0,0.0,19,6788,7669,66.7,
2026-07-02,BKK-SGN,Ho Chi Minh City,4598,4598,0,0.0,19,4598,5363,0.0,low in 19
2026-07-04,BKK-CAN,Guangzhou,5652,5970,-318,-5.3,20,5652,7060,0.0,low in 20
2026-07-04,BKK-CEI,Chiang Rai,2530,2754,-224,-8.1,20,2356,2754,52.6,
